序号,清单,店名,推荐分,老字号,定位,城区,类别,茶市饭市,人均,口味,服务,环境,稳定度,经度,纬度,完整地址
7,值得试,金越轩（星寰店）,4.25,是,大众,越秀,粤式越菜,,100,8.5,6,8,8,113.267065,23.128673,广东省广州市越秀区
8,值得试,潮福餐厅,3.75,,大众,白云,潮汕卤水火锅,,90,8,4.5,6,8,,,
9,值得试,明大苑,3.75,,中上,番禺,粤菜,均可,110,7.5,7,9,9,113.383917,22.937560,广东省广州市番禺区
10,值得试,来脚鞋与鱼子酱,4,,中高,天河,西餐,饭市,350,8,7,7.5,8.5,113.361597,23.124817,广东省广州市天河区
11,值得试,VINI,4,,中上,海珠,西餐,,300,8,6,6,8.5,113.317412,23.084003,广东省广州市海珠区
12,值得试,粤正盅,3.75,,大众,越秀,特色粤菜,饭市,100,7.5,5,6,8,113.296507,23.142580,广东省广州市越秀区粤正盅
13,值得试,温祈福（芳村店）,4,,中上,荔湾,粤菜,均可,100,8,6,8,8.5,113.218998,23.107123,广东省广州市荔湾区
14,值得试,伍哥厨房,3.75,,大众,海珠,特色粤菜,饭市,100,8,5,5,8,113.362273,23.086335,广东省广州市海珠区伍哥厨房(新滘东路店)
15,值得试,禄鼎鲜食,4.25,,大众,荔湾,海鲜火锅,,130,8,8,6,9,113.218998,23.107123,广东省广州市荔湾区
16,值得试,贡美食,3.75,是,大众,荔湾,粤菜,饭市,110,7.5,5,6,8.5,113.218998,23.107123,广东省广州市荔湾区
17,值得试,喜势点（北京路/多宝路）,3.75,,大众,越秀荔湾,全天茶点,全天茶市,60,7.5,6,6.5,8,113.218998,23.107123,广东省广州市荔湾区
18,值得试,沁平盛澳门咖喱,3.75,,平价,荔湾,粉面,,25,7.5,4,5,8,113.218998,23.107123,广东省广州市荔湾区
19,值得试,丰尔粥食（同兴路店）,3.75,,平价,顺德大良,顺德菜,均可,80,8,6,7,8,113.330171,23.010748,广东省广州市番禺区大良街道
20,值得试,潮福,3.75,,大众,海珠,粉面,,35,8,4,5,9,113.317412,23.084003,广东省广州市海珠区
21,值得试,养鱼苏,4.25,,中上,天河,清水鱼火锅,饭市,110,8,7,8,9,113.361597,23.124817,广东省广州市天河区
22,值得试,四季京未（农林下）,4.25,,中上,越秀,京味菜,,120,8.5,6,7,9,113.297096,23.128784,广东省广州市越秀区四季京未(东山未来里店)
23,值得试,花悦庭,4.5,,中上,天河,京味菜综合中餐,,150,9,8,8,9,113.361597,23.124817,广东省广州市天河区
24,值得试,兴悦（环市东）,4.25,,中高,越秀,粤菜,均可,200,8.5,7,7.5,8.5,113.267065,23.128673,广东省广州市越秀区
25,值得试,徐博馆（中和店）,4.25,是,中高,天河,粤菜,饭市,300,9,7.5,8.5,9,113.361597,23.124817,广东省广州市天河区
26,值得试,味食家（解放北）,4,是,大众,越秀,粤菜,饭市,100,8,6,6,9,113.267065,23.128673,广东省广州市越秀区
27,值得试,牛骨髓盖（员村店）,3.75,,中上,天河,粤菜,饭市,120,8,6,6,8.5,113.361597,23.124817,广东省广州市天河区
28,值得试,蒸坊黄鳝饭,4,是,大众,佛山禅城,特色粤菜,,90,8.5,6,7,9,113.202021,23.384167,广东省广州市花都区台山黄鳝饭
29,值得试,红星光发煲仔饭（文海店）,3.75,,中上,顺德容桂,煲仔饭,,100,8,5,7,9,113.818699,23.237242,广东省广州市增城区红星
30,值得试,唐人轩,4,,平价,越秀,粤菜,全天茶市,60,8,5,6.5,9,113.267065,23.128673,广东省广州市越秀区
31,值得试,观绿茶居（中山八）,3.75,,平价,荔湾,粤菜,全天茶市,60,7.5,4,6,8,113.218998,23.107123,广东省广州市荔湾区
32,值得试,啫成啫煲,3.75,,平价,荔湾,排挡,,60,7.5,4,3,8.5,113.236643,23.119607,广东省广州市荔湾区啫成啫煲(西关古老大屋店)
33,值得试,松苑（芳村）,4,,中上,荔湾,粤菜,饭市,120,8.5,7,8.5,7.5,,,
34,值得试,博多天妇罗,3.75,,大众,天河,日料,,90,8,6,6,9,113.361597,23.124817,广东省广州市天河区
